trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",25,0,-112.20115141052327,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",30,0,-161.2421042945768,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-147.8644883924765,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-112.14367804941911,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-129.2909138896373,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",35,0,-196.52558066625883,"{0: 17, 1: 6, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",30,13,-28.291775553072508,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,0,-84.5631660623175,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-119.26434082085359,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-80.97687253514457,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",25,0,-120.714614436891,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-147.55540800611956,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-150.27575887537873,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-30.049594012212598,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,4,-123.47608854972856,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-121.15473574101887,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",30,0,-69.72018069839228,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",35,0,-129.77002720752807,"{0: 19, 1: 7, 2: 8, 3: 0, 4: 1}",0
