trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-52.87598700796006,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.985}",20,0,-86.28811393796457,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-88.85944684423426,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.19879320537345,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-146.43417068010282,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-81.70621225577888,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-237.17829220440984,"{0: 12, 1: 4, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-136.14569556560488,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-211.40569166609717,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-245.7168871222167,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-153.72909677412483,"{0: 6, 1: 7, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-158.2689581158936,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.5449999999999997}",30,0,-204.72977702068889,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",1
14,False,"{'a': 0.5, 'e': 0.4749999999999997}",20,0,-135.2158886370814,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.3999999999999997}",20,0,-88.33314891283707,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.3199999999999997}",20,0,-84.87172913829932,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.23499999999999965}",20,0,-67.81099657591373,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.14499999999999966}",20,0,-69.56411303298843,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999656}",30,0,-124.69119550675065,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.05000000000000035}",20,0,-68.48812409585868,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-39.04456882827195,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-70.75111031715052,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,11,-27.147324673849454,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-118.3434517272873,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
